procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
0 0 0 258M  837M   706   0   5   0  1467   12   0   0   89  2888   331  4  3 93
0 0 0 259M  837M     9   0   0   0     8   20   1   0   58   221   229  0  1 99
1 0 0 259M  836M    51   0   0   0     0   20   0   0 1470 14141  3641 65 23 12
1 0 0 259M  836M    30   0   0   0    16   20  20   0 1939 16047  5151 78 22  0
1 0 0 259M  836M   616   0   0   0   581   22   0   0 1811 17538  4916 77 23  0
1 0 0 259M  836M    41   0   0   0     0   20   0   0 1954 16098  5179 71 29  0
1 0 0 259M  836M   444   0   0   0   412   20   1   0 1643 16913  4173 77 23  0
1 0 0 259M  835M    33   0   0   0     0   20   0   0 1769 16332  4519 74 26  0
1 0 0 260M  835M   744   0   0   0   712   20   0   0 1857 17451  4869 79 21  0
1 0 0 260M  835M    85   0   0   0     0   20   0   0 1843 15649  4607 80 20  0
1 0 0 260M  835M   440   0   0   0   820   20   0   0 1764 17144  4568 82 18  0
1 0 0 260M  835M    33   0   0   0     0   22   0   0 1865 16531  4998 73 27  0
1 0 0 260M  835M   141   0   0   0   102   20   0   0 1363 16927  3328 76 24  0
1 0 0 260M  834M    30   0   0   0     0   20   0   0 1865 16474  5188 83 17  0
1 0 0 261M  834M   443   0   0   0   412   20   0   0 1839 17375  4860 73 27  0
1 0 0 261M  834M    69   0   0   0     0   20   0   0 1776 16147  4702 75 25  0
1 0 0 262M  833M   469   0   0   0   286   20   0   0 1715 16993  4442 74 26  0
1 0 0 262M  833M    32   0   0   0     0   20   0   0 1792 16103  4772 78 22  0
1 0 0 262M  833M   318   0   0   0   286   20   0   0 1704 16780  4533 77 23  0
1 0 0 262M  833M    34   0   0   0     0   22   0   0 1719 16171  4428 73 27  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 262M  833M    35   0   0   0     0   20   0   0 1644 15688  4280 80 20  0
1 0 0 262M  833M    31   0   0   0     0   20   2   0 1628 15396  4236 82 18  0
1 0 0 262M  833M   359   0   0   0   326   20   0   0 1691 17005  4522 74 26  0
1 0 0 262M  832M    35   0   0   0     0   20   0   0 1783 16340  4700 76 24  0
1 0 0 263M  832M   304   0   0   0   271   22   0   0 1748 17087  4603 75 25  0
1 0 0 263M  832M    35   0   0   0     0   20   0   0 1690 16215  4369 78 22  0
1 0 0 263M  832M   305   0   0   0   270   20   0   0 2116 17772  6011 77 23  0
1 0 0 263M  832M    32   0   0   0     0   20   0   0 1674 16232  4148 77 23  0
1 0 0 263M  831M   377   0   0   0   270   20   0   0 1839 17062  5047 76 24  0
1 0 0 265M  830M   555   0   0   0   148   20   0   0 1822 16416  4741 74 26  0
1 0 0 265M  830M   154   0   0   0   122   20   0   0 1729 16543  4502 77 23  0
1 0 0 265M  830M   619   0   0   0   588   22   2   0 1904 17499  5238 77 23  0
1 0 0 265M  830M    31   0   0   0     0   20   0   0 1757 16460  4564 78 22  0
1 0 0 265M  829M   207   0   0   0   174   20   0   0 1698 16671  4523 77 23  0
1 0 0 266M  829M   270   0   0   0   238   20  12   0 1796 16830  4614 75 25  0
1 0 0 266M  829M    32   0   0   0     0   20   0   0 1712 16112  4446 72 28  0
1 0 0 266M  829M   441   0   0   0   412   20   0   0 1812 16932  4664 74 26  0
1 0 0 266M  829M    33   0   0   0     0   20   0   0 1946 16749  5421 78 22  0
1 0 0 266M  829M   445   0   0   0   412   22   0   0 1833 17364  4843 74 26  0
1 0 0 266M  829M    33   0   0   0     0   20   0   0 1743 16218  4683 74 26  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 266M  829M   144   0   0   0   112   20   0   0 1937 16671  5034 76 24  0
1 0 0 266M  828M   142   0   0   0   110   20   0   0 1811 16680  4852 76 24  0
1 0 0 267M  828M   560   0   0   0   532   20   0   0 1689 17201  4450 74 26  0
1 0 0 267M  828M    32   0   0   0     0   20   0   0 1812 16176  4874 80 20  0
1 0 0 267M  828M   445   0   0   0   412   22   0   0 1835 17402  4838 74 26  0
