procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
0 0 0 258M  837M   386   0   3   0   802   16   0   0   65  1664   257  3  2 95
0 0 0 259M  837M    15   0   0   0     8   22   1   0  394  2339   934  9  9 82
1 0 0 259M  836M    61   0   0   0     1   20   0   0 1465 12948  3829 62 19 19
1 0 0 259M  836M    34   0   0   0     1   20   0   0 1747 16464  4921 77 23  0
1 0 0 259M  836M    31   0   0   0     0   20   0   0 1830 16279  4949 75 25  0
1 0 0 259M  836M   555   0   0   0  1042   20   0   0 1873 17392  4914 73 27  0
1 0 0 259M  836M    21   0   0   0     0   20   0   0 1737 16203  4526 75 25  0
1 0 0 259M  836M    32   0   0   0     0   20   0   0 1757 16159  4513 77 23  0
1 0 0 260M  835M   454   0   0   0   364   22   0   0 1632 16845  4240 76 24  0
1 0 0 260M  835M    32   0   0   0     0   20   0   0 1771 16363  4546 78 22  0
1 0 0 260M  835M   267   0   0   0   230   20   0   0 1908 17167  5033 73 27  0
1 0 0 260M  835M    33   0   0   0     0   20   0   0 1888 16622  4955 79 21  0
1 0 0 260M  835M    91   0   0   0    54   20   2   0 1728 16561  4473 78 22  0
1 0 0 260M  835M    61   0   0   0    29   20   0   0 1696 16303  4495 74 26  0
1 0 0 261M  834M   166   0   0   0    97   20   0   0 1905 16167  5025 77 23  0
1 0 0 261M  834M   180   0   0   0     0   20   0   0 1706 16268  4535 78 22  0
1 0 0 261M  834M   540   0   0   0   507   22   0   0 1759 17650  4487 73 27  0
1 0 0 261M  833M    32   0   0   0     0   20   0   0 1696 16500  4364 78 22  0
1 0 0 262M  833M   446   0   0   0   412   20   0   0 1780 17429  4580 77 23  0
1 0 0 262M  833M   212   0   0   0   182   20   0   0 1859 16503  4659 74 26  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 262M  833M   264   0   0   0   230   20   0   0 1752 16756  4607 77 23  0
1 0 0 262M  833M   335   0   0   0   302   20   0   0 1985 16963  5167 76 24  0
1 0 0 262M  833M    32   0   0   0     0   20   0   0 1556 16224  3958 76 24  0
1 0 0 262M  833M   437   0   0   0   404   20   0   0 1639 17403  4201 78 22  0
1 0 0 262M  833M    32   0   0   0     0   22   0   0 1754 16289  4372 74 26  0
1 0 0 263M  832M   436   0   0   0   404   20   0   0 1761 16881  4509 73 27  0
1 0 0 263M  832M    34   0   0   0     0   20   0   0 1660 16265  4318 77 23  0
1 0 0 263M  832M   246   0   0   0   214   20   0   0 1748 16731  4410 74 26  0
1 0 0 263M  832M   106   0   0   0     0   20   0   0 1671 16258  4316 77 23  0
1 0 0 265M  830M   549   0   0   0   230   20  25   0 1810 16520  4773 75 25  0
1 0 0 265M  830M    34   0   0   0     0   20   0   0 1765 16514  4740 77 23  0
1 0 0 265M  830M   270   0   0   0   239   20   2   0 1964 16738  5423 78 22  0
1 0 0 265M  830M    34   0   0   0     0   20   0   0  968 16769  2100 78 22  0
1 0 0 265M  830M    34   0   0   0     1   22   0   0 1526 16056  3933 75 25  0
1 0 0 265M  830M    32   0   0   0     0   20   0   0 1904 16290  5058 75 25  0
1 0 0 266M  830M    34   0   0   0     1   20   0   0 1672 16753  4296 74 26  0
1 0 0 266M  830M    35   0   0   0     0   20   0   0 1679 16252  4341 79 21  0
1 0 0 266M  829M    64   0   0   0    31   20   0   0 1710 16331  4337 78 22  0
1 0 0 266M  829M    31   0   0   0     0   20   0   0 1784 16069  4524 77 23  0
1 0 0 266M  829M    64   0   0   0    31   20   0   0 1667 16286  4309 81 19  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 266M  829M    33   0   0   0     0   22   0   0 1887 16300  5036 74 26  0
1 0 0 266M  829M   146   0   0   0   110   20   0   0 1916 17061  5142 73 27  0
1 0 0 266M  829M    33   0   0   0     0   20   0   0 1852 16311  4864 80 20  0
1 0 0 267M  829M   259   0   0   0   230   20   0   0 1675 16906  4409 75 25  0
1 0 0 267M  828M    32   0   0   0     0   20   0   0 1700 16262  4347 77 23  0
1 0 0 267M  828M   263   0   0   0   230   20   0   0 1798 17029  4597 72 28  0
1 0 0 267M  828M    31   0   0   0     8   22   1   0 1830 16166  4683 72 28  0
1 0 0 267M  828M    32   0   0   0     1   20   0   0 1634 16176  4150 75 25  0
1 0 0 267M  828M    33   0   0   0     0   20   0   0 1838 16276  4834 72 28  0
1 0 0 267M  828M    34   0   0   0     1   20   0   0 1754 16573  4467 69 31  0
1 0 0 267M  828M    33   0   0   0     0   20   0   0 1786 16566  4571 79 21  0
1 0 0 268M  828M    34   0   0   0     1   20   0   0 1859 16512  4944 71 29  0
1 0 0 268M  827M    37   0   0   0     0   20   0   0 1778 16493  4444 75 25  0
1 0 0 268M  827M   420   0   0   0   390   20   0   0 1639 17671  4226 78 22  0
1 0 0 268M  827M   179   0   0   0     3   20   0   0 1742 16628  4699 77 23  0
1 0 0 269M  826M   421   0   0   0   390   22   0   0 1963 16872  5358 77 23  0
