procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
0 0 0 259M  838M   527   0   4   0  1086    8   0   0   36  1960   219  1  3 96
0 0 0 259M  837M     8   0   0   0     8   20   1   0   75   312   248  0  1 99
1 0 0 259M  836M    65   0   0   0     6   22   0   0 1561 14199  4160 65 17 18
1 0 0 259M  836M    32   0   0   0     0   20   0   0 1752 16368  4536 71 29  0
1 0 0 259M  836M   114   0   0   0    78   22   0   0 1896 16978  5043 75 25  0
1 0 0 259M  836M   196   0   0   0   162   20   0   0 1855 16734  4908 73 27  0
2 0 0 259M  836M    45   0   0   0    12   20   0   0 1743 16263  4818 78 22  0
1 0 0 259M  836M   349   0   0   0   318   22   2   0 1637 16870  4431 74 26  0
1 0 0 260M  835M   185   0   0   0    94   20   0   0 1823 16350  4863 75 25  0
1 0 0 260M  835M   201   0   0   0   170   20   0   0 1687 16444  4525 73 27  0
1 0 0 260M  835M   276   0   0   0   242   20   0   0 1912 16843  5291 73 27  0
1 0 0 260M  835M   446   0   0   0   412   22   0   0 1613 17707  4150 76 24  0
1 0 0 260M  835M    36   0   0   0     0   20   0   0 1791 16185  4921 78 22  0
1 0 0 260M  835M   199   0   0   0   166   20   0   0 1792 16609  4624 78 22  0
1 0 0 261M  834M    70   0   0   0     0   20   0   0 1907 16685  5271 72 28  0
1 0 0 262M  833M   296   0   0   0   111   20   0   0 1781 16329  4983 78 22  0
1 0 0 262M  833M    34   0   0   0     0   20   0   0 1909 16230  5227 82 18  0
1 0 0 262M  833M   141   0   0   0   111   20   0   0 1793 16229  4733 77 23  0
1 0 0 262M  833M    35   0   0   0     0   22   0   0 1729 16611  4615 77 23  0
1 0 0 262M  833M   143   0   0   0   111   20   0   0 1761 16216  4799 74 26  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 262M  833M    33   0   0   0     0   20   0   0 1714 16070  4602 73 27  0
1 0 0 262M  833M   444   0   0   0   412   20   0   0 1622 16930  4064 73 27  0
1 0 0 262M  833M    34   0   0   0     0   20   0   0 1825 16731  5010 74 26  0
1 0 0 263M  832M   174   0   0   0   143   20   0   0 1694 16461  4448 73 27  0
1 0 0 263M  832M    33   0   0   0     0   22   0   0 1732 16192  4459 79 21  0
1 0 0 263M  832M   376   0   0   0   342   20   0   0 1867 17250  5128 73 27  0
1 0 0 263M  832M    32   0   0   0     0   20   0   0 1799 16245  4726 77 23  0
1 0 0 263M  832M   375   0   0   0   342   20   0   0 1708 17072  4422 81 19  0
1 0 0 263M  832M   104   0   0   0     8   20  24   0 1785 15732  4799 77 23  0
1 0 0 265M  830M   762   0   0   0   428   20   0   0 1881 16788  5096 77 23  0
1 0 0 265M  830M    33   0   0   0     0   20   2   0 1775 16289  4922 72 28  0
1 0 0 265M  830M   445   0   0   0   412   22   0   0 1599 17118  4203 79 21  0
1 0 0 265M  830M    32   0   0   0     0   20   0   0 1880 16052  5033 77 23  0
1 0 0 265M  830M   444   0   0   0   412   20   0   0 1840 17142  5196 78 22  0
1 0 0 265M  830M    32   0   0   0     0   20   0   0 1834 16186  4897 70 30  0
1 0 0 266M  829M   444   0   0   0   412   20   0   0 1789 16950  4715 76 24  0
1 0 0 266M  829M    33   0   0   0     0   20   0   0 1882 16808  4919 74 26  0
1 0 0 266M  829M   445   0   0   0   412   20   0   0 1920 17103  5163 80 20  0
1 0 0 266M  829M    31   0   0   0     0   22   0   0 1821 16312  4871 78 22  0
1 0 0 266M  829M   719   0   0   0   686   20   0   0 1708 17299  4576 76 24  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 266M  829M    29   0   0   0     0   20   0   0 1436 14658  3795 80 20  0
1 0 0 266M  829M   440   0   0   0   412   20   0   0 1415 15390  3666 68 32  0
1 0 0 266M  829M    28   0   0   0     0   20   0   0 1199 14598  2915 76 24  0
1 0 0 267M  828M   444   0   0   0   412   20   0   0 1738 16749  4536 75 25  0
1 0 0 267M  828M    28   0   0   0     0   20   0   0 1447 14571  3669 79 21  0
1 0 0 267M  828M    68   0   0   0    38   20   0   0 1399 15043  3588 71 29  0
1 0 0 267M  828M   405   0   0   0   382   22   1   0 1830 16371  5099 70 30  0
1 0 0 267M  828M    31   0   0   0     0   20   0   0 1537 15162  4168 79 21  0
1 0 0 267M  828M    62   0   0   0    31   20   0   0 1657 15348  4379 77 23  0
1 0 0 267M  828M    32   0   0   0     0   20   0   0 1853 16321  5095 75 25  0
1 0 0 267M  828M    63   0   0   0    31   20   0   0 1759 16285  4820 73 27  0
1 0 0 267M  828M    34   0   0   0     0   20   0   0 1777 16187  4604 74 26  0
1 0 0 268M  827M   261   0   0   0   230   20   0   0 1355 16295  3526 74 26  0
1 0 0 268M  827M    32   0   0   0     0   20   0   0 1784 15899  4754 78 22  0
1 0 0 268M  827M   288   0   0   0   255   22   0   0 1807 16756  4934 73 27  0
1 0 0 269M  826M   178   0   0   0     3   20   0   0 1637 16307  4347 75 25  0
1 0 0 269M  826M   434   0   0   0   255   20   0   0 1884 16840  4983 74 26  0
1 0 0 271M  824M   599   0   0   0   112   20   0   0 1874 16621  5056 77 23  0
