procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
0 0 0 258M  838M   331   0   2   0   681   13   0   0  850  1160  1710  1  3 97
0 0 0 258M  838M     9   0   0   0     8   20   1   0   85    62   242  0  1 99
0 0 0 258M  838M     0   0   0   0     0   22   0   0  878    76  1651  0  1 99
0 0 0 258M  838M     0   0   0   0     0   20   0   0 1323    54  2621  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 1472    60  2893  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 1367    76  2657  0  4 96
0 0 0 258M  838M     0   0   0   0     0   22   0   0 1693    54  3295  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 1958    54  3808  0  3 97
0 0 0 258M  838M   259   0   1   0   315   20   4   0 2127   469  4072  1  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2174    60  4064  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2265    54  4302  0  4 96
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2317    79  4509  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2095    54  3959  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2258    54  4232  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2325    82  4501  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2062    54  3982  0  5 95
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2146    54  4032  0  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2362    76  4359  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2230    60  4270  0  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2195    54  4152  0  1 99
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2279    76  4371  0  2 98
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2216    54  4253  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2026    76  3921  0  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2334    60  4472  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2327    54  4406  0  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2164    76  4134  0  2 98
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2324    54  4543  0  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2138    54  4069  0  2 98
0 0 0 258M  838M     1   0   0   0     8   20  15   0 2390    82  4403  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   2   0 2028    54  3865  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   2   0 2228    54  4247  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2294    76  4373  0  3 97
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2067    54  3936  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2195    60  4212  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2243    76  4350  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2338    54  4412  0  4 96
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2349    54  4395  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   1   0 2193    76  4205  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2283    60  4313  0  1 99
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2051    54  3927  0  2 98
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2214    79  4184  0  2 98
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2231    54  4318  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2286    54  4375  0  8 92
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2137    83  3994  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2243    54  4317  0  7 93
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2297    54  4291  0  5 95
0 0 0 258M  838M     0   0   0   0     8   20   1   0 2146    76  4153  0  3 97
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2255    54  4286  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2183    60  4168  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2113    76  4037  0  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2312    54  4511  0  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2207    54  4217  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2179    77  4157  0  5 95
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2240    60  4271  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2290    54  4440  0  6 94
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2202    76  4153  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2126    54  3945  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2350    54  4494  0  5 95
0 0 0 258M  838M     1   0   0   0     0   20   0   0 2108    82  4098  0  3 97
0 0 0 258M  838M     0   0   0   0     8   20  13   0 2292    54  4262  0  4 96
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
0 0 0 258M  838M     0   0   0   0     0   22   3   0 2260    54  4303  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   1   0 1979    76  3805  0  1 99
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2203    54  4216  0  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2228    60  4193  0  6 94
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2234    76  4304  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2212    54  4255  0  5 95
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2274    54  4344  0  2 98
0 0 0 258M  838M     8   0   0   0     0   20   0   0 2063    87  3995  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2150    60  4057  1  5 95
1 0 0 258M  838M     0   0   0   0     0   20   0   0 2354    54  4520  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2317    79  4455  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2129    54  4015  0  4 96
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2208    54  4236  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2285    82  4375  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2306    54  4472  0  5 95
1 0 0 258M  838M     0   0   0   0     0   20   0   0 2337    54  4322  0  2 98
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2180    76  4134  0  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2217    54  4227  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2213    82  4170  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2146    54  4142  0  2 98
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2069    54  3980  1  1 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2246    76  4387  0  2 98
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2282    54  4348  0  5 95
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2285    60  4352  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2212    76  4171  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2296    54  4406  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2154    54  4107  0  2 98
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2294    82  4371  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   1   0 2250    54  4276  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2311    54  4378  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   2   0 2354    76  4492  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   1   0 2272    54  4302  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2184    60  4108  0  2 98
0 0 0 258M  838M     0   0   0   0     8   22   1   0 2242    76  4272  0  4 96
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2239    54  4231  0  3 97
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2199    54  4130  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2340    76  4500  0  5 95
0 0 0 258M  838M     0   0   0   0     0   22   0   0 2316    60  4414  0  0 100
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2120    54  3987  0  2 98
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2165    79  4153  0  2 98
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
0 0 0 258M  838M     0   0   0   0     0   20   0   0 2221    54  4319  0  3 97
